costs,locs,techs,cost_depreciation_rate
monetary,CNOR,Geo_PP_ex,0.10085917404611996
monetary,CNOR,Geo_PP_new,0.10085917404611996
monetary,CNOR,Hydrodam_PP_ex,0.10004884242918782
monetary,CNOR,Hydroror_PP_ex,0.1060792482526339
monetary,CNOR,Hydroror_PP_new,0.1060792482526339
monetary,CNOR,Nuclear_PP_new,0.1060792482526339
monetary,CNOR,OXC_PP_new,0.11745962477254576
monetary,CNOR,PHS_PP_new,0.10085917404611996
monetary,CNOR,PV_PP_ex,0.11016807219002081
monetary,CNOR,PV_PP_new,0.11016807219002081
monetary,CNOR,PV_roof_ex,0.11745962477254576
monetary,CNOR,PV_roof_new,0.11745962477254576
monetary,CNOR,Wind_PP_ex,0.11745962477254576
monetary,CNOR,Wind_off_PP_new,0.1060792482526339
monetary,CNOR,Wind_on_PP_new,0.11745962477254576
monetary,CSUD,Hydrodam_PP_ex,0.10004884242918782
monetary,CSUD,Hydroror_PP_ex,0.1060792482526339
monetary,CSUD,Hydroror_PP_new,0.1060792482526339
monetary,CSUD,Nuclear_PP_new,0.1060792482526339
monetary,CSUD,OXC_PP_new,0.11745962477254576
monetary,CSUD,PHS_PP_ex,0.10085917404611996
monetary,CSUD,PHS_PP_new,0.10085917404611996
monetary,CSUD,PV_PP_ex,0.11016807219002081
monetary,CSUD,PV_PP_new,0.11016807219002081
monetary,CSUD,PV_roof_ex,0.11745962477254576
monetary,CSUD,PV_roof_new,0.11745962477254576
monetary,CSUD,Wind_PP_ex,0.11745962477254576
monetary,CSUD,Wind_off_PP_new,0.1060792482526339
monetary,CSUD,Wind_on_PP_new,0.11745962477254576
monetary,NORD,Hydrodam_PP_ex,0.10004884242918782
monetary,NORD,Hydroror_PP_ex,0.1060792482526339
monetary,NORD,Hydroror_PP_new,0.1060792482526339
monetary,NORD,Nuclear_PP_new,0.1060792482526339
monetary,NORD,OXC_PP_new,0.11745962477254576
monetary,NORD,PHS_PP_ex,0.10085917404611996
monetary,NORD,PHS_PP_new,0.10085917404611996
monetary,NORD,PV_PP_ex,0.11016807219002081
monetary,NORD,PV_PP_new,0.11016807219002081
monetary,NORD,PV_roof_ex,0.11745962477254576
monetary,NORD,PV_roof_new,0.11745962477254576
monetary,NORD,Wind_off_PP_new,0.1060792482526339
monetary,NORD,Wind_on_PP_new,0.11745962477254576
monetary,SARD,Hydrodam_PP_ex,0.10004884242918782
monetary,SARD,Hydroror_PP_ex,0.1060792482526339
monetary,SARD,Hydroror_PP_new,0.1060792482526339
monetary,SARD,Nuclear_PP_new,0.1060792482526339
monetary,SARD,OXC_PP_new,0.11745962477254576
monetary,SARD,PHS_PP_ex,0.10085917404611996
monetary,SARD,PHS_PP_new,0.10085917404611996
monetary,SARD,PV_PP_ex,0.11016807219002081
monetary,SARD,PV_PP_new,0.11016807219002081
monetary,SARD,PV_roof_ex,0.11745962477254576
monetary,SARD,PV_roof_new,0.11745962477254576
monetary,SARD,Wind_PP_ex,0.11745962477254576
monetary,SARD,Wind_off_PP_new,0.1060792482526339
monetary,SARD,Wind_on_PP_new,0.11745962477254576
monetary,SICI,Hydrodam_PP_ex,0.10004884242918782
monetary,SICI,Hydroror_PP_ex,0.1060792482526339
monetary,SICI,Hydroror_PP_new,0.1060792482526339
monetary,SICI,Nuclear_PP_new,0.1060792482526339
monetary,SICI,OXC_PP_new,0.11745962477254576
monetary,SICI,PHS_PP_ex,0.10085917404611996
monetary,SICI,PHS_PP_new,0.10085917404611996
monetary,SICI,PV_PP_ex,0.11016807219002081
monetary,SICI,PV_PP_new,0.11016807219002081
monetary,SICI,PV_roof_ex,0.11745962477254576
monetary,SICI,PV_roof_new,0.11745962477254576
monetary,SICI,Wind_PP_ex,0.11745962477254576
monetary,SICI,Wind_off_PP_new,0.1060792482526339
monetary,SICI,Wind_on_PP_new,0.11745962477254576
monetary,SUD,Hydrodam_PP_ex,0.10004884242918782
monetary,SUD,Hydroror_PP_ex,0.1060792482526339
monetary,SUD,Hydroror_PP_new,0.1060792482526339
monetary,SUD,Nuclear_PP_new,0.1060792482526339
monetary,SUD,OXC_PP_new,0.11745962477254576
monetary,SUD,PHS_PP_new,0.10085917404611996
monetary,SUD,PV_PP_ex,0.11016807219002081
monetary,SUD,PV_PP_new,0.11016807219002081
monetary,SUD,PV_roof_ex,0.11745962477254576
monetary,SUD,PV_roof_new,0.11745962477254576
monetary,SUD,Wind_PP_ex,0.11745962477254576
monetary,SUD,Wind_off_PP_new,0.1060792482526339
monetary,SUD,Wind_on_PP_new,0.11745962477254576
